site,site #,date,month,rain_mm,rain_oak,rain_euc,runoffL_oak,runoffL_euc,slope_oak,slope_euc,aspect_oak,aspect_euc,surface_tension_oak,surface_tension_euc,runoff_rainfall_ratio_oak,runoff_rainfall_ratio_euc
TP3,7,12/1/2006,12/6/2006,15,11,13,0.8,0,25,18,264,215,68.79,32.79,0.072727273,0
TP3,7,12/14/2006,12/6/2006,57,33,50,2.4,1.9,25,18,264,215,NA,NA,0.072727273,0.038
TP3,7,12/29/2006,12/6/2006,37,30,30,0.35,0.875,25,18,264,215,72.75,56.41,0.011666667,0.029166667
TP3,7,1/30/2007,1/7/2007,17,26,17,0,0,25,18,264,215,72.75,44.37,0,0
TP3,7,2/14/2007,2/7/2007,94,64,72,0,2.4,25,18,264,215,72.75,56.41,0,0.033333333
TP3,7,3/2/2007,3/7/2007,66,35,43,0.05,0.8,25,18,264,215,NA,NA,0.001428571,0.018604651
TP3,7,3/28/2007,3/7/2007,17,10,14,0.01,0.315,25,18,264,215,72.75,44.37,0.001,0.0225
TP3,7,4/24/2007,4/7/2007,14,29,24,0.175,1.7,25,18,264,215,72.75,68.79,0.006034483,0.070833333
TP3,7,5/7/2007,5/7/2007,3,8,12,0.15,0.6,25,18,264,215,68.79,37.4,0.01875,0.05
TP4,8,11/9/2006,11/6/2006,23,23,26,0.5,3.81,12,12,187,175,37.4,28.51,0.02173913,0.146538462
TP4,8,11/14/2006,11/6/2006,17,18,21,0,1,12,12,187,175,72.75,32.79,0,0.047619048
TP4,8,12/1/2006,12/6/2006,10,10,11,0,0,12,12,187,175,72.75,32.79,0,0
TP4,8,12/14/2006,12/6/2006,68,62,76,0,9.24,12,12,187,175,72.75,72.75,0,0.121578947
TP4,8,12/29/2006,12/6/2006,32,34,40,0,4.14,12,12,187,175,NA,NA,0,0.1035
TP4,8,1/30/2007,1/7/2007,17,13,39,0,0,12,12,187,175,NA,NA,0,0
TP4,8,2/14/2007,2/7/2007,90,82,96,2.04,9.12,12,12,187,175,72.75,37.4,0.024878049,0.095
TP4,8,3/2/2007,3/7/2007,64,50,52,0,0,12,12,187,175,NA,NA,0,0
TP4,8,3/28/2007,3/7/2007,10,19,22,0,0.475,12,12,187,175,72.75,28.51,0,0.021590909
TP4,8,4/24/2007,4/7/2007,20,32,32,0,1.8,12,12,187,175,72.75,37.4,0,0.05625
TP4,8,5/7/2007,5/7/2007,7,17,11,0,1.5,12,12,187,175,72.75,37.4,0,0.136363636
