FID,STATION,STATION_NA,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY_PRCP_2,Completene,MLY_SNOW_2,Complete_1,MLY_PRCP_5,Complete_2,MLY_SNOW_5,Complete_3,MLY_PRCP_7,Complete_4,MLY_SNOW_7,Complete_5,MLY_PRCP_N,Complete_6,MLY_SNOW_N,Complete_7,MLY_SNOW_A,Complete_8,MLY_SNOW_1,Complete_9,MLY_SNOW_3,Complet_10,MLY_SNOW_4,Complet_11,MLY_SNOW_6,Complet_12,MLY_PRCP_A,Complet_13,MLY_PRCP_1,Complet_14,MLY_PRCP_3,Complet_15,MLY_PRCP_4,Complet_16,MLY_SNWD_A,Complet_17,MLY_SNWD_1,Complet_18,MLY_SNWD_2,Complet_19,MLY_SNWD_3,Complet_20,MLY_TMAX_A,Complet_21,MLY_TMAX_1,Complet_22,MLY_TMAX_2,Complet_23,MLY_TMAX_3,Complet_24,MLY_TMAX_4,Complet_25,MLY_TMAX_5,Complet_26,MLY_TMAX_6,Complet_27,MLY_TMAX_7,Complet_28,MLY_TMIN_A,Complet_29,MLY_TMIN_1,Complet_30,MLY_TMIN_2,Complet_31,MLY_TMIN_3,Complet_32,MLY_TMIN_4,Complet_33,MLY_TMIN_5,Complet_34,MLY_TMIN_6,Complet_35,MLY_TMIN_7,Complet_36,MLY_TAVG_N,Complet_37,MLY_DUTR_N,Complet_38,MLY_TMAX_N,Complet_39,MLY_TMIN_N,Complet_40,MLY_TAVG_S,Complet_41,MLY_DUTR_S,Complet_42,MLY_TMAX_S,Complet_43,MLY_TMIN_S,Complet_44
10,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201011,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,104.9,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,30,R,25.5,R,12.5,R,3,R,0.1,R,0,R,0,R,0,R,0,R,0,R,10.3,R,26.5,R,29.7,R,30,R,30,R,8,R,-3.9,R,14.9,R,1.1,R,-16.4,R,-15.7,R,-15.6,R,-16.7,R
11,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201012,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,161.8,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,30,R,19.5,R,4.5,R,0.2,R,0,R,0,R,0,R,0,R,0,R,2,R,20.2,R,29.4,R,31,R,31,R,31,R,4.9,R,-5.1,R,11.3,R,-1.4,R,-16.4,R,-15.3,R,-15.9,R,-15.9,R
12,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201001,58.42,S,356,S,141.73,S,643,S,232.66,S,1041,S,152.91,S,747,S,7,C,6,C,0,C,4,C,2,C,11.5,C,8.9,C,4.5,C,1.7,C,26,C,15,C,24,C,23,C,0,S,16,S,1.8,S,0,S,0,S,0,S,0,S,2,S,0,S,1,S,8,S,27.7,S,30.9,S,31,S,31,S,31,S,0.2,S,-8.7,S,4.8,S,-4.3,S,-16.4,S,-15.9,S,-16.4,S,-15.8,S
13,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201002,74.42,S,152,P,133.1,S,343,P,247.14,S,810,P,164.08,S,533,P,6,C,6,C,0,C,3,C,2,C,10.7,C,8.5,C,4.2,C,2.1,C,25,C,18,C,24,C,23,C,0,S,19,S,6.6,S,0.3,S,0,S,0,S,0,S,1,S,0,S,1,S,5,S,24,S,28,S,28,S,28,S,28,S,1.4,S,-7.3,S,6.7,S,-3.7,S,-16.4,S,-15.3,S,-15.8,S,-16.1,S
14,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201003,58.17,S,152,S,115.57,S,279,S,172.47,S,572,S,135.13,S,457,S,5,C,4,C,0,C,2,C,1,C,10.5,C,8.2,C,3.6,C,1.7,C,20,C,10,C,17,C,15,C,0,S,27,S,16.6,S,3.9,S,0.1,S,0,S,0,S,0,S,0,S,-778,S,2,S,24.6,S,30.8,S,31,S,31,S,31,S,4.1,S,-5.5,S,10.2,S,-2.1,S,-16.3,S,-15.7,S,-15.4,S,-16.8,S
15,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201004,32,S,0,S,51.82,S,81,S,78.49,S,274,S,69.85,S,188,S,2,C,2,C,0,C,1,C,0,C,8.1,C,5.6,C,1.9,C,0.6,C,5,S,2,S,4,S,3,S,0,S,28,S,22.3,S,12.7,S,3.5,S,0.1,S,0,S,-778,S,0,S,0,S,0,S,17.3,S,28.8,S,30,S,30,S,30,S,6.9,S,-3.2,S,14.2,S,-0.4,S,-16,S,-15.6,S,-15.1,S,-16.7,S
16,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201005,17.02,S,0,S,30.48,S,0,S,70.1,S,0,S,43.94,S,10,S,0,S,0,S,0,S,-778,S,0,S,6.1,S,3.7,S,0.9,S,0.4,S,0,S,0,S,-778,S,0,S,0,S,31,S,29.4,S,23.4,S,13.2,S,3.2,S,0,S,0,S,0,S,0,S,0,S,5.7,S,20.8,S,30.5,S,31,S,31,S,11.4,S,-1.2,S,19.7,S,3.1,S,-16,S,-16.1,S,-15.3,S,-16.4,S
17,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201006,2.79,S,0,S,10.67,S,0,S,30.73,S,0,S,18.54,S,0,S,0,S,0,S,0,S,0,S,0,S,3.1,S,2,S,0.5,S,-777.7,S,0,S,0,S,0,S,0,S,0,S,30,S,29.8,S,28.7,S,23.4,S,11.2,S,1,S,0,S,0,S,0,S,0,S,0.7,S,6.5,S,25.7,S,30,S,30,S,15.7,S,0.2,S,24.7,S,6.7,S,-16.5,S,-16.4,S,-15.9,S,-16.8,S
18,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201007,0,S,0,C,0,S,0,C,4.32,S,0,C,3.56,S,0,C,0,C,0,C,0,C,0,C,0,C,0.7,C,0.4,C,0.1,C,0,C,0,C,0,C,0,C,0,C,0,S,31,S,31,S,31,S,30.2,S,24.4,S,7,S,0,S,0,S,0,S,0,S,0,S,1.2,S,17,S,30.4,S,31,S,19.4,S,1.9,S,29.3,S,9.6,S,-16.3,S,-16.9,S,-16,S,-16.4,S
19,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201008,0,C,0,C,0,C,0,C,7.87,C,0,C,5.08,C,0,C,0,C,0,C,0,C,0,C,0,C,0.9,C,0.5,C,0.1,C,-777.7,C,0,C,0,C,0,C,0,C,0,S,31,S,31,S,31,S,30.3,S,23.4,S,5,S,0,S,0,S,0,S,0,S,0,S,1.7,S,21.4,S,30.8,S,31,S,18.8,S,2.3,S,28.8,S,8.7,S,-16.8,S,-16.6,S,-16.5,S,-16.9,S
20,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201009,0,C,0,C,6.86,C,0,C,19.56,C,0,C,17.53,C,2,C,-778,C,-778,C,0,C,0,C,0,C,2.4,C,1.3,C,0.5,C,0.1,C,0,C,0,C,0,C,0,C,0,S,30,S,29.8,S,28.6,S,24.6,S,12.4,S,1,S,0,S,0,S,0,S,0,S,0.6,S,9.7,S,28.2,S,30,S,30,S,15.4,S,1.3,S,25,S,5.9,S,-16.4,S,-16.2,S,-15.7,S,-16.8,S
21,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201010,23.88,S,0,C,49.02,S,0,C,78.99,S,13,C,54.86,S,23,C,0,C,0,C,-778,C,0,C,-778,C,5.5,C,3.5,C,1.6,C,0.7,C,0,S,0,S,0,S,0,S,0,S,31,S,28.4,S,21.9,S,9,S,1.4,S,0,S,0,S,0,S,0,S,0,S,8.1,S,23.6,S,30.9,S,31,S,31,S,10.1,S,-1.8,S,18,S,2.1,S,-16.2,S,-15.8,S,-15.3,S,-16.7,S
22,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201011,42.42,S,51,S,107.44,S,152,S,156.72,S,292,S,118.62,S,211,S,3,C,3,C,0,C,1,C,1,C,9.3,C,7,C,3.2,C,1.5,C,6,C,2,C,4,C,3,C,0,S,26,S,13.5,S,2.3,S,-777.7,S,0,S,0,S,0,S,0,S,0,S,2,S,20.4,S,28.6,S,30,S,30,S,30,S,3.9,S,-6.9,S,9.3,S,-1.5,S,-16.2,S,-15.8,S,-15.7,S,-16.2,S
23,GHCND:USC00041497,CANYON DAM CA US,1390,40.17028,-121.08833,201012,78.99,S,216,S,125.98,S,483,S,243.08,S,886,S,171.2,S,607,S,6,S,6,S,0,S,3,S,2,S,11.7,S,9.1,S,4.1,S,2.2,S,21,S,8,S,16,S,12,S,0,S,16,S,1.2,S,-777.7,S,0,S,0,S,0,S,2,S,0,S,1,S,8,S,26.9,S,30.7,S,31,S,31,S,31,S,0.2,S,-9.1,S,4.5,S,-4.2,S,-16.4,S,-16.1,S,-16.5,S,-15.9,S
24,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201001,21.59,S,0,S,61.72,S,0,S,86.11,S,0,S,66.55,S,0,S,-778,S,-778,S,0,S,-778,S,-778,S,6.7,S,4.5,S,2,S,0.7,S,-778,S,0,S,-778,S,-778,S,0,S,31,S,27.2,S,16,S,3.9,S,0,S,0,S,0,S,0,S,0,S,1,S,18.4,S,27.7,S,31,S,31,S,31,S,7.6,S,-1.7,S,15.6,S,-0.5,S,-16.4,S,-15.9,S,-15.9,S,-16.2,S
25,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201002,32.77,S,0,S,49.78,S,0,S,93.98,S,0,S,67.06,S,0,S,-778,S,-778,S,0,S,0,S,0,S,6.9,S,4.8,S,2.2,S,0.7,S,0,S,0,S,0,S,0,S,0,S,28,S,25.5,S,17,S,6.7,S,0.3,S,0,S,0,S,0,S,0,S,0,S,13.2,S,23.1,S,27.8,S,28,S,28,S,8.9,S,-1.4,S,17,S,0.7,S,-16.2,S,-15.8,S,-15.6,S,-16.4,S
26,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201003,11.68,S,0,S,34.29,S,0,S,68.58,S,0,S,52.83,S,0,S,0,S,0,S,0,S,0,S,0,S,7,S,4.5,S,1.2,S,0.5,S,0,S,0,S,0,S,0,S,0,S,31,S,29.9,S,23.5,S,11.5,S,2.2,S,-778,S,0,S,0,S,0,S,0,S,7.4,S,21.8,S,30.6,S,31,S,31,S,10.9,S,-1.1,S,19.3,S,2.6,S,-16,S,-15.9,S,-15.3,S,-16.3,S
27,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201004,2.03,S,0,S,16,S,0,S,31.24,S,0,S,18.54,S,0,S,0,S,0,S,0,S,0,S,0,S,3.9,S,2,S,0.4,S,-777.7,S,0,S,0,S,0,S,0,S,0,S,30,S,29.5,S,25.9,S,17.7,S,7.6,S,1,S,0,S,0,S,0,S,0,S,2.6,S,13.6,S,26.1,S,29.8,S,30,S,13.8,S,-0.7,S,22.3,S,5.3,S,-15.6,S,-16.3,S,-15.1,S,-15.9,S
28,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201005,1.27,S,0,S,5.84,S,0,S,12.19,S,0,S,8.64,S,0,S,0,S,0,S,0,S,0,S,0,S,2.3,S,1,S,0.2,S,-777.7,S,0,S,0,S,0,S,0,S,0,S,31,S,31,S,30.4,S,26.8,S,17.5,S,6,S,0,S,0,S,0,S,0,S,0.1,S,3.6,S,18.2,S,28.5,S,31,S,18.2,S,0.1,S,27.2,S,9.3,S,-16,S,-16.5,S,-15.7,S,-16,S
29,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201006,0,S,0,S,0,S,0,S,1.78,S,0,S,2.54,S,0,S,0,S,0,S,0,S,0,S,0,S,0.9,S,0.4,S,0.1,S,0,S,0,S,0,S,0,S,0,S,2,S,30,S,30,S,30,S,29.6,S,26.5,S,17,S,0,S,0,S,0,S,0,S,0,S,0,S,5.4,S,21.3,S,29,S,22.9,S,1.1,S,32.3,S,13.5,S,-16.2,S,-16.3,S,-15.8,S,-16.2,S
30,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201007,0,S,0,S,0.51,S,0,S,4.06,S,0,S,4.32,S,0,S,0,S,0,S,0,S,0,S,0,S,1,S,0.5,S,-777.7,S,0,S,0,S,0,S,0,S,0,S,11,S,31,S,31,S,31,S,31,S,30.9,S,28,S,0,S,0,S,0,S,0,S,0,S,0,S,0.4,S,10.9,S,28,S,26.7,S,1.7,S,36.4,S,16.9,S,-16.4,S,-16.5,S,-16.3,S,-16.2,S
31,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201008,0,S,0,S,0,S,0,S,3.3,S,0,S,4.57,S,0,S,0,S,0,S,0,S,0,S,0,S,1.3,S,0.6,S,0.1,S,0,S,0,S,0,S,0,S,0,S,10,S,31,S,31,S,31,S,31,S,31,S,28,S,0,S,0,S,0,S,0,S,0,S,0,S,0.8,S,12.8,S,28,S,26.3,S,2.1,S,36.3,S,16.4,S,-16.8,S,-16.3,S,-16.6,S,-16.4,S
32,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201009,0,R,0,S,0.76,R,0,S,13.72,R,0,S,5.84,R,0,S,0,S,0,S,0,S,0,S,0,S,1.7,S,0.8,S,0.1,S,0,S,0,S,0,S,0,S,0,S,2,S,30,S,30,S,30,S,29.5,S,26.9,S,19,S,0,S,0,S,0,S,0,S,0,S,0.2,S,7.2,S,22.3,S,29,S,22.8,S,2.1,S,32.7,S,12.8,S,-16.3,S,-15.8,S,-15.8,S,-16.2,S
33,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.78306,-118.43889,201010,1.27,R,0,P,8.89,R,0,P,17.53,R,0,P,12.95,R,0,P,0,P,0,P,0,P,0,P,0,P,2.6,P,1.3,P,0.2,P,-777.7,P,0,P,0,P,0,P,0,P,0,R,31,R,31,R,30.3,R,26.8,R,16.3,R,4,R,0,R,0,R,0,R,0,R,0.3,R,6,R,22.8,R,29.4,R,31,R,17.3,R,1.1,R,26.7,R,7.9,R,-16.2,R,-15.9,R,-15.6,R,-16.3,R
34,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.7831,-118.4389,201011,4.83,S,0,P,28.96,S,0,P,51.31,S,0,P,38.86,S,0,P,0,S,0,S,0,S,0,S,0,S,3.6,S,2.6,S,1,S,0.2,S,0,S,0,S,0,S,0,S,0,R,30,R,29.4,R,23.7,R,12.2,R,2.2,R,-778,R,0,R,0,R,0,R,0,R,9.4,R,21.2,R,29,R,30,R,30,R,11.1,R,-0.3,R,19.8,R,2.3,R,-16.1,R,-15.7,R,-15.5,R,-16.2,R
35,GHCND:USC00044523,KERN RIVER PH 3 CA US,824,35.7831,-118.4389,201012,21.59,R,0,S,45.97,R,0,S,78.49,R,0,S,50.04,R,0,S,0,S,0,S,0,S,0,S,0,S,5.5,S,3.6,S,1.3,S,0.5,S,0,S,0,S,0,S,0,S,0,R,31,R,27.3,R,15.2,R,3.9,R,0,R,0,R,0,R,0,R,0,R,1,R,19,R,27.8,R,30.9,R,31,R,31,R,7.4,R,-1.6,R,15.6,R,-0.7,R,-16.5,R,-15.8,R,-15.9,R,-16.4,R
36,GHCND:USC00042467,DONNER MEMORIAL ST PARK CA US,1810,39.3239,-120.2331,201001,31.5,R,254,P,112.78,R,1059,P,241.81,R,1704,P,140.72,R,1054,P,9,S,7,S,1,S,5,S,3,S,11,S,8.9,S,4.4,S,2.2,S,30,S,24,S,29,S,28,S,0,S,18,S,4.7,S,0.1,S,0,S,0,S,0,S,3,S,2,S,9,S,21,S,30.3,S,31,S,31,S,31,S,31,S,-1.9,S,-3.2,S,5.4,S,-9.2,S,-16.1,S,-15.2,S,-16.1,S,-15.2,S
37,GHCND:USC00042467,DONNER MEMORIAL ST PARK CA US,1810,39.3239,-120.2331,201002,96.01,R,343,P,160.78,R,935,P,260.86,R,1537,P,167.39,R,1003,P,9,S,7,S,1,S,4,S,3,S,10.7,S,8.7,S,4.5,S,2.4,S,28,S,24,S,27,S,27,S,0,S,17,S,7.4,S,0.8,S,0,S,0,S,0,S,2,S,1,S,6,S,17,S,27.3,S,28,S,28,S,28,S,28,S,-0.9,S,-3,S,6.4,S,-8.4,S,-16.1,S,-14.9,S,-15.4,S,-15.6,S
38,GHCND:USC00042467,DONNER MEMORIAL ST PARK CA US,1810,39.3239,-120.2331,201003,46.48,R,297,P,102.87,R,658,P,183.64,R,1128,P,135.89,R,894,P,7,C,6,C,1,C,4,C,2,C,9.9,S,7.8,S,3.8,S,1.7,S,28,C,24,C,28,C,26,C,0,C,25,C,15,C,3.4,C,0.1,C,0,C,0,C,1,C,-778,S,2,S,11,S,29.7,S,31,S,31,S,31,S,31,S,1.7,S,-2.6,S,9.3,C,-5.8,S,-16,S,-15.9,S,-15.3,C,-16.3,S
39,GHCND:USC00042467,DONNER MEMORIAL ST PARK CA US,1810,39.3239,-120.2331,201004,26.16,S,76,P,51.05,S,221,P,87.88,S,983,P,65.53,S,475,P,4,C,3,C,0,C,2,C,1,C,7.5,C,4.9,C,1.6,C,0.5,C,13,S,9,S,12,S,11,S,0,S,27,S,20.4,S,10.8,S,2.5,S,-777.7,S,0,S,0,S,0,S,0,S,4,S,26.5,S,29.7,S,30,S,30,S,30,S,4.7,S,-1.7,S,12.8,S,-3.3,S,-15.9,S,-16,S,-15.2,S,-16.5,S
40,GHCND:USC00042467,DONNER MEMORIAL ST PARK CA US,1810,39.3239,-120.2331,201005,17.02,S,0,S,31.24,S,38,S,62.99,S,117,S,45.47,S,74,S,1,S,1,S,0,S,0,S,0,S,6,S,4,S,1.2,S,0.5,S,3,S,1,S,2,S,2,S,0,S,31,S,27.5,S,21.1,S,10.8,S,1.7,S,0,S,0,S,0,S,0,S,0,S,16.8,S,28.4,S,31,S,31,S,31,S,9.1,S,0.3,S,18.2,S,0.1,S,-15.9,S,-15.7,S,-15.1,S,-16.4,S
41,GHCND:USC00042467,DONNER MEMORIAL ST PARK CA US,1810,39.3239,-120.2331,201006,5.59,S,0,C,15.49,S,0,C,26.42,S,13,C,18.03,S,13,C,0,C,0,C,0,C,-778,C,0,C,3.4,S,2.2,S,0.5,S,0,S,0,C,0,C,-778,C,0,C,0,S,30,S,29.7,S,27.8,S,21.3,S,8.3,S,0,S,0,S,0,S,0,S,0,S,4.4,S,20.2,S,29.5,S,30,S,30,S,13.2,S,2.4,S,23.3,S,3.2,S,-16.3,S,-15.9,S,-15.6,S,-16.8,S
42,GHCND:USC00042467,DONNER MEMORIAL ST PARK CA US,1810,39.3239,-120.2331,201007,0,C,0,C,4.83,C,0,C,10.67,C,0,C,6.86,C,0,C,0,C,0,C,0,C,0,C,0,C,1.4,C,0.8,C,0.1,C,-777.7,C,0,C,0,C,0,C,0,C,0,S,31,S,31,S,30.9,S,29.5,S,21.2,S,4,S,0,S,0,S,0,S,0,S,0.8,S,11,S,29,S,31,S,31,S,16.8,S,4.7,S,28.1,S,5.6,S,-16.2,S,-16.4,S,-15.9,S,-16.2,S
43,GHCND:USC00042467,DONNER MEMORIAL ST PARK CA US,1810,39.3239,-120.2331,201008,0,S,0,S,3.3,S,0,S,20.07,S,0,S,9.14,S,0,S,0,S,0,S,0,S,0,S,0,S,1.9,S,1,S,0.2,S,0.1,S,0,S,0,S,0,S,0,S,0,S,31,S,31,S,31,S,29.6,S,19.2,S,2,S,0,S,0,S,0,S,0,S,0.6,S,12.8,S,29.8,S,31,S,31,S,16.4,S,4.6,S,27.6,S,5.2,S,-16.8,S,-16.4,S,-16.3,S,-17,S
